Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD
2025-11-26 16:00:00.000,1.15887,1.16001,1.15879,1.15896,8313
2025-11-26 17:00:00.000,1.15895,1.15932,1.15843,1.15923,5944
2025-11-26 18:00:00.000,1.15924,1.15957,1.15885,1.15926,4315
2025-11-26 19:00:00.000,1.15928,1.15957,1.15898,1.1593,4032
2025-11-26 20:00:00.000,1.15929,1.15966,1.15915,1.15935,3271
2025-11-26 21:00:00.000,1.15933,1.15966,1.15929,1.15953,1880
2025-11-26 22:00:00.000,1.15885,1.15961,1.1588,1.15948,1038
2025-11-26 23:00:00.000,1.15948,1.16014,1.1593,1.16011,1415
2025-11-27 00:00:00.000,1.16013,1.16044,1.15991,1.16014,2559
2025-11-27 01:00:00.000,1.16015,1.16118,1.15999,1.16083,5339
2025-11-27 02:00:00.000,1.16084,1.16127,1.15997,1.1603,4065
2025-11-27 03:00:00.000,1.16029,1.1606,1.15992,1.16014,3268
2025-11-27 04:00:00.000,1.16013,1.16045,1.15994,1.16,2504
2025-11-27 05:00:00.000,1.16003,1.16056,1.16,1.16015,3875
2025-11-27 06:00:00.000,1.16016,1.16045,1.15906,1.15919,4775
2025-11-27 07:00:00.000,1.15918,1.1593,1.15849,1.1591,3949
2025-11-27 08:00:00.000,1.15911,1.15948,1.1586,1.15921,5719
2025-11-27 09:00:00.000,1.1592,1.1593,1.15758,1.15767,5583
2025-11-27 10:00:00.000,1.15769,1.15843,1.15764,1.15831,4134
2025-11-27 11:00:00.000,1.1583,1.15869,1.15779,1.15853,4586
2025-11-27 12:00:00.000,1.15855,1.15897,1.15812,1.15825,3952
2025-11-27 13:00:00.000,1.15824,1.15962,1.15824,1.15942,5146
2025-11-27 14:00:00.000,1.15942,1.15972,1.15896,1.15944,4306
2025-11-27 15:00:00.000,1.15942,1.15988,1.15914,1.15934,4259
2025-11-27 16:00:00.000,1.15936,1.15996,1.15915,1.15987,2448
2025-11-27 17:00:00.000,1.15988,1.16008,1.15909,1.15942,1787
2025-11-27 18:00:00.000,1.15943,1.15947,1.15905,1.15913,1090
2025-11-27 19:00:00.000,1.15912,1.15952,1.15912,1.15947,953
2025-11-27 20:00:00.000,1.15946,1.15958,1.15935,1.15943,1394
2025-11-27 21:00:00.000,1.15944,1.15963,1.15944,1.1595,751
2025-11-27 22:00:00.000,1.1592,1.1596,1.1592,1.15946,756
2025-11-27 23:00:00.000,1.1595,1.16007,1.1595,1.15988,1023
2025-11-28 00:00:00.000,1.15987,1.16013,1.15913,1.15933,4332
2025-11-28 01:00:00.000,1.15934,1.15979,1.15809,1.15825,4464
2025-11-28 02:00:00.000,1.15825,1.15872,1.15803,1.15831,8056
2025-11-28 03:00:00.000,1.15832,1.15902,1.15805,1.15862,8686
2025-11-28 04:00:00.000,1.15861,1.15908,1.15845,1.15885,4685
2025-11-28 05:00:00.000,1.15883,1.15925,1.15812,1.15879,12121
2025-11-28 06:00:00.000,1.15879,1.15891,1.15805,1.1583,13573
2025-11-28 07:00:00.000,1.1583,1.15893,1.15763,1.15787,13509
2025-11-28 08:00:00.000,1.15787,1.15813,1.15656,1.1569,13000
2025-11-28 09:00:00.000,1.15693,1.15789,1.15655,1.15672,19634
2025-11-28 10:00:00.000,1.15672,1.15698,1.15546,1.15581,8782
2025-11-28 11:00:00.000,1.15582,1.15681,1.15547,1.15667,9032
2025-11-28 12:00:00.000,1.15667,1.1572,1.15606,1.15655,10449
2025-11-28 13:00:00.000,1.15659,1.15779,1.15618,1.1574,18683
2025-11-28 14:00:00.000,1.15739,1.15843,1.15704,1.15837,8537
2025-11-28 15:00:00.000,1.15835,1.16069,1.15786,1.16067,12622
2025-11-28 16:00:00.000,1.16067,1.16067,1.15919,1.15983,10136
2025-11-28 17:00:00.000,1.15981,1.16036,1.15926,1.1602,4981
2025-11-28 18:00:00.000,1.1602,1.16038,1.1595,1.16007,4116
2025-11-28 19:00:00.000,1.16008,1.1603,1.15998,1.16015,3207
2025-11-28 20:00:00.000,1.16015,1.16036,1.15998,1.16,2852
2025-11-28 21:00:00.000,1.15998,1.16018,1.15916,1.15942,1853
2025-11-30 22:00:00.000,1.15899,1.15984,1.15892,1.15971,1963
2025-11-30 23:00:00.000,1.15968,1.1607,1.15951,1.16004,2645
2025-12-01 00:00:00.000,1.16005,1.16063,1.15969,1.16024,5638
2025-12-01 01:00:00.000,1.16022,1.16151,1.15996,1.16044,9125
2025-12-01 02:00:00.000,1.16045,1.1605,1.15919,1.15943,5125
2025-12-01 03:00:00.000,1.15943,1.15968,1.15886,1.15961,3107
2025-12-01 04:00:00.000,1.15961,1.16018,1.15938,1.15978,3044
2025-12-01 05:00:00.000,1.15978,1.16006,1.1594,1.15971,3905
2025-12-01 06:00:00.000,1.1597,1.15983,1.15896,1.15955,5295
2025-12-01 07:00:00.000,1.15957,1.16121,1.15947,1.16062,6538
2025-12-01 08:00:00.000,1.16062,1.16211,1.16032,1.16127,9352
2025-12-01 09:00:00.000,1.16127,1.16229,1.16125,1.16215,7587
2025-12-01 10:00:00.000,1.16215,1.16276,1.16183,1.16268,6140
2025-12-01 11:00:00.000,1.16267,1.16316,1.16235,1.1627,5200
2025-12-01 12:00:00.000,1.16272,1.16482,1.16258,1.1648,7136
2025-12-01 13:00:00.000,1.1648,1.16519,1.16387,1.16441,9179
2025-12-01 14:00:00.000,1.16439,1.16445,1.16294,1.1631,11011
2025-12-01 15:00:00.000,1.16328,1.16398,1.16218,1.16282,11877
2025-12-01 16:00:00.000,1.16284,1.16336,1.16201,1.16221,7362
2025-12-01 17:00:00.000,1.16221,1.16282,1.16171,1.16199,4958
2025-12-01 18:00:00.000,1.16199,1.16228,1.16109,1.16112,5439
2025-12-01 19:00:00.000,1.16111,1.16116,1.16064,1.16077,4122
2025-12-01 20:00:00.000,1.16076,1.16093,1.16059,1.16088,2699
2025-12-01 21:00:00.000,1.16087,1.16101,1.16072,1.16083,1314
2025-12-01 22:00:00.000,1.16079,1.16086,1.16066,1.16079,148
2025-12-01 23:00:00.000,1.16078,1.16094,1.16059,1.16059,645
2025-12-02 00:00:00.000,1.16061,1.16089,1.16031,1.1605,2424
2025-12-02 01:00:00.000,1.16049,1.16104,1.1603,1.16083,3547
2025-12-02 02:00:00.000,1.16083,1.16111,1.1608,1.16111,1970
2025-12-02 03:00:00.000,1.16113,1.1612,1.16079,1.16113,2249
2025-12-02 04:00:00.000,1.16113,1.16133,1.16081,1.16081,1841
2025-12-02 05:00:00.000,1.16079,1.16103,1.16064,1.16092,1813
2025-12-02 06:00:00.000,1.16093,1.16104,1.16041,1.16089,2618
2025-12-02 07:00:00.000,1.16089,1.16157,1.16081,1.16119,5014
2025-12-02 08:00:00.000,1.1612,1.16155,1.16082,1.16099,5787
2025-12-02 09:00:00.000,1.16098,1.16134,1.16015,1.16093,5506
2025-12-02 10:00:00.000,1.16095,1.16117,1.15976,1.16059,6307
2025-12-02 11:00:00.000,1.16059,1.16123,1.16027,1.16111,4487
2025-12-02 12:00:00.000,1.1611,1.16187,1.16066,1.16169,5167
2025-12-02 13:00:00.000,1.16171,1.16188,1.16104,1.16169,6257
2025-12-02 14:00:00.000,1.16169,1.16226,1.16124,1.16169,9353
2025-12-02 15:00:00.000,1.16169,1.16179,1.15925,1.16055,11512
2025-12-02 16:00:00.000,1.16054,1.16091,1.15903,1.15946,8542
2025-12-02 17:00:00.000,1.15947,1.16071,1.15922,1.16065,5852
2025-12-02 18:00:00.000,1.16064,1.16127,1.16049,1.16078,4197
2025-12-02 19:00:00.000,1.16079,1.16242,1.16079,1.162,4338
2025-12-02 20:00:00.000,1.16199,1.16252,1.16189,1.16237,3669
2025-12-02 21:00:00.000,1.16238,1.16251,1.16202,1.16246,1635
2025-12-02 22:00:00.000,1.16221,1.16243,1.16195,1.16225,524
2025-12-02 23:00:00.000,1.16237,1.16283,1.16237,1.16274,1019
2025-12-03 00:00:00.000,1.16275,1.16325,1.16271,1.16301,3285
2025-12-03 01:00:00.000,1.16301,1.16368,1.16298,1.1636,3527
2025-12-03 02:00:00.000,1.16361,1.16379,1.16346,1.16373,2783
2025-12-03 03:00:00.000,1.16372,1.16382,1.16362,1.1637,2341
2025-12-03 04:00:00.000,1.16369,1.16414,1.16355,1.16404,2000
2025-12-03 05:00:00.000,1.16404,1.1643,1.16401,1.16419,2735
2025-12-03 06:00:00.000,1.16421,1.16471,1.16408,1.16421,3414
2025-12-03 07:00:00.000,1.16422,1.1652,1.16387,1.16406,6297
2025-12-03 08:00:00.000,1.16408,1.1645,1.16349,1.16433,6612
2025-12-03 09:00:00.000,1.16435,1.16472,1.16393,1.16448,6710
2025-12-03 10:00:00.000,1.16449,1.16631,1.16441,1.16597,6441
2025-12-03 11:00:00.000,1.16596,1.16652,1.16542,1.16648,4816
2025-12-03 12:00:00.000,1.16647,1.16687,1.16615,1.16622,5281
2025-12-03 13:00:00.000,1.16622,1.16747,1.1661,1.16656,9519
2025-12-03 14:00:00.000,1.16656,1.16662,1.16549,1.1661,10040
2025-12-03 15:00:00.000,1.16604,1.16674,1.16537,1.1659,13927
2025-12-03 16:00:00.000,1.16588,1.16656,1.16576,1.16586,8223
2025-12-03 17:00:00.000,1.16588,1.16701,1.16569,1.16678,5248
2025-12-03 18:00:00.000,1.16678,1.16749,1.16676,1.1671,4972
2025-12-03 19:00:00.000,1.16711,1.1677,1.16705,1.1672,2970
2025-12-03 20:00:00.000,1.16718,1.16721,1.16643,1.16648,2851
2025-12-03 21:00:00.000,1.16649,1.1671,1.16635,1.16705,1694
2025-12-03 22:00:00.000,1.16707,1.1674,1.16698,1.16701,654
2025-12-03 23:00:00.000,1.16701,1.16715,1.16627,1.16656,1153
2025-12-04 00:00:00.000,1.16655,1.16666,1.16586,1.16622,3260
