Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD
2024-07-12 11:00:00.000,1.08907,1.08931,1.08873,1.08884,3627
2024-07-12 12:00:00.000,1.08885,1.08938,1.08744,1.08912,10369
2024-07-12 13:00:00.000,1.08914,1.08989,1.08878,1.08985,8793
2024-07-12 14:00:00.000,1.08986,1.09102,1.0894,1.09099,9189
2024-07-12 15:00:00.000,1.091,1.09116,1.09019,1.0902,4917
2024-07-12 16:00:00.000,1.0902,1.09062,1.09013,1.09054,4166
2024-07-12 17:00:00.000,1.09057,1.09082,1.09018,1.09072,2414
2024-07-12 18:00:00.000,1.09072,1.09074,1.09018,1.09069,2457
2024-07-12 19:00:00.000,1.09066,1.09122,1.09055,1.09072,2511
2024-07-12 20:00:00.000,1.09074,1.091,1.09049,1.09085,920
2024-07-14 21:00:00.000,1.08873,1.08977,1.08864,1.0891,1197
2024-07-14 22:00:00.000,1.08908,1.08954,1.08856,1.08878,1827
2024-07-14 23:00:00.000,1.0888,1.08892,1.08842,1.08865,2346
2024-07-15 00:00:00.000,1.08866,1.08898,1.08842,1.08892,2684
2024-07-15 01:00:00.000,1.08893,1.08909,1.08868,1.08905,2537
2024-07-15 02:00:00.000,1.08907,1.08926,1.08872,1.08926,2186
2024-07-15 03:00:00.000,1.08925,1.08965,1.08914,1.08949,1501
2024-07-15 04:00:00.000,1.08949,1.08956,1.08934,1.08945,1269
2024-07-15 05:00:00.000,1.08945,1.08967,1.08935,1.08951,1519
2024-07-15 06:00:00.000,1.08953,1.08968,1.0887,1.08901,4399
2024-07-15 07:00:00.000,1.08903,1.08972,1.08846,1.08963,5155
2024-07-15 08:00:00.000,1.08965,1.09101,1.08964,1.09092,3630
2024-07-15 09:00:00.000,1.09093,1.09159,1.09076,1.09136,3640
2024-07-15 10:00:00.000,1.09137,1.09211,1.09057,1.09105,4527
2024-07-15 11:00:00.000,1.09108,1.09157,1.09059,1.09064,4538
2024-07-15 12:00:00.000,1.09064,1.09096,1.09029,1.09081,4966
2024-07-15 13:00:00.000,1.09081,1.09174,1.09076,1.0916,5082
2024-07-15 14:00:00.000,1.09162,1.09185,1.09083,1.09179,5372
2024-07-15 15:00:00.000,1.09181,1.09232,1.09106,1.09127,4671
2024-07-15 16:00:00.000,1.09126,1.09181,1.09007,1.09071,5602
